TEAM,W,L,RMSE POINT DIFF,PERC,POINT DIFF (predicted),POINT DIFF (actual)
76ERS,55,27,**,0.67,1.69,**
BUCKS,37,45,**,0.45,0.16,**
BULLS,54,28,**,0.66,1.16,**
CAVALIERS,50,32,**,0.61,1.7,**
CELTICS,46,36,**,0.56,3.66,**
CLIPPERS,58,24,**,0.71,2.64,**
GRIZZLIES,42,40,**,0.51,0.69,**
HAWKS,36,46,**,0.44,-0.99,**
HEAT,37,45,**,0.45,0.28,**
HORNETS,16,66,**,0.2,-5.52,**
JAZZ,39,43,**,0.48,-0.1,**
KINGS,43,39,**,0.52,0.85,**
KNICKS,27,55,**,0.33,-1.78,**
LAKERS,58,24,**,0.71,3.03,**
MAGIC,31,51,**,0.38,-1.66,**
MAVERICKS,53,29,**,0.65,2.25,**
NETS,46,36,**,0.56,0.64,**
NUGGETS,50,32,**,0.61,2.44,**
PACERS,51,31,**,0.62,2.83,**
PELICANS,49,33,**,0.6,1.38,**
PISTONS,18,64,**,0.22,-5.92,**
RAPTORS,43,39,**,0.52,0.28,**
ROCKETS,8,74,**,0.1,-7.77,**
SPURS,17,65,**,0.21,-5.78,**
SUNS,61,21,**,0.74,4.32,**
THUNDER,40,42,**,0.49,-0.83,**
TIMBERWOLVES,43,39,**,0.52,0.85,**
TRAIL_BLAZERS,50,32,**,0.61,1.88,**
WARRIORS,51,31,**,0.62,1.66,**
WIZARDS,27,55,**,0.33,-4.01,**
